URL,Title,Content
https://www.eyefootball.com/news/59991/Parma-eyeing-cut-price-transfer-Arsenal-man.html,Parma eyeing cut-price transfer for Arsenal man,"Vieira spent the previous campaign on loan with Porto in the Primeira Liga. He fared decently with 11 goal contributions in all competitions.He is now expected to leave the Gunners on a permanent basis and reports claim that Parma have come forward as the most interested outfit.The Italian club recently appointedArsenalassistant coach Carlos Cuesta as their new manager, and they are keen to reunite him with Vieira.Vieira had a good working relationship with Cuesta at the Gunners and the latter has given the green light for a potential reunion at Parma.Arsenalwant at least €20 million to part ways with the 25-year-old playmaker but Parma are seeking a significant discount on the fee.The club are prepared to wait until the final days of the summertransfer windowin order to secure a cut-price deal for the Portuguese ace."
https://www.eyefootball.com/news/59987/Arsenal-seal-Noni-Madueke.html,Arsenal seal Noni Madueke move,"NumerousArsenalfans were unhappy with the possibility of Madueke's arrival, instead preferring Rodrygo, however Madueke has indeed joined the Gunners.Madueke told the club's official website: ""It's already a great team with a clear identity and I can't wait to bring my style to the team and try and help the boys as much as possible to take that next step.""I try and be a dual threat from the left and from the right. Of course, it's a little different when I play on the left or when I play on the right, but it doesn't really matter to me where I play. I only really have one thought in my mind when I get the ball to feet or in space, it is just to line up the full-back and go past him.""I'm very happy, very excited to get to work. I’ll go on holiday for a little bit now, but I can't wait to get back and meet all the boys and train.""Madueke previously played for PSV Eindhoven between 2018 and 2023 and had also come throughTottenham's youth team ranks."
https://www.eyefootball.com/news/59982/Chelsea-Arsenal-Xavi-Simons.html,Chelsea & Arsenal want to sign Xavi Simons?,"The Netherlands international had an injury-plagued campaign with Leipzig last term, but he still made 19 goal contributions from 33 appearances for the Bundesliga giants.Simons has been linked with a big-money move to Bayern Munich this week, but he is reportedly determined to make the switch to the Premier League this summer.The Dutchman has hired agent Ali Barat to secure him his dream move.Chelseaare expected to be approached over the player's availability soon.Arsenalcould be a possible destination too. Barat recently intermediated the transfer ofNoni MaduekefromChelseafor £48.5 million upfront.Barat has a good working relationship with sporting directorAndrea Bertaand he could lure Simons to the north London giants in the next few days.Simons has a gentleman's agreement to leave Leipzig for £61 million."
https://www.eyefootball.com/news/59979/Arsenal-completed-signing-21yo-Spanish-star.html,Arsenal have completed signing of 21yo Spanish star,"The London giants finalised personal terms with the Spaniard earlier this month and they have now formally secured his signature on a long-term deal.The Gunners have yet to announce the transfer, but a leaked image on Getty Images reveals that the 21-year-old has already had his club interview.The club announced the arrival ofNoni MaduekefromChelseaearlier today, and Mosquera could be confirmed as a new player tomorrow.Arsenaltravel for the pre-season tour of Asia on Saturday. The club are optimistic of securing another summer signing during the tour.Talks are advanced with Sporting CP forViktor Gyokeresand he could be permitted to undergo his medical tests by the weekend.The Swede has been training on his own away from Sporting's first team group. It is only a matter of time before he joinsArsenal."
https://www.eyefootball.com/news/59978/Arsenal-signed-23yo-winger-485m.html,Arsenal have signed 23yo winger for £48.5m,"The Gunners made a surprise approach for the England international earlier this month and he has now penned a long-term deal.Madueke is primarily a right-sided winger and he could provide depth and competition behindBukayo Sakanext season.The Englishman can also operate from the opposite flank. He will be aiming to find more consistency with the Gunners next term.Madueke has raw pace and sublime dribbling skills. He has a knack of getting behind defences, but needs to improve his finishing.The 23-year-old becomes the club's fourth signing of the summertransfer window, and there could be at least three more on the cards.Valencia'sCristhian Mosqueraand Sporting CP'sViktor Gyokeresare expected to join the north London giants in the near future.The club are also keen on landing a versatile playmaker. They have been linked withEberechi EzeandXavi Simonsthis week."
https://www.eyefootball.com/news/59974/Arsenal-confirm-signings-contract-renewal-week.html,Arsenal to confirm two signings & contract renewal this week,"The Gunners have had a productive summertransfer windowand they have already signedKepa Arrizabalaga,Martin ZubimendiandChristian Norgaard.Noni MaduekeandCristhian Mosquerahave also completed their medical tests. The former has reportedly signed a long-term contract at the club.Arsenalare expected to announce the arrivals of Madueke and Mosquera in the next few days.Ethan Nwaneri's new contract will be confirmed as well.The 18-year-old was on the radar ofChelseaand Manchester City, but he has committed his long-term future by agreeing a fresh four-year contract.Arsenalare likely to continue their spending spree in the coming days. Sporting CP starViktor Gyokeresis poised to join the club next week.A new playmaker could also be signed after player sales.Crystal Palace'sEberechi Ezeis the number one target for the London heavyweights."
https://www.eyefootball.com/news/59967/Ethan-Nwaneri-Arsenal-contract-decision.html,Ethan Nwaneri makes Arsenal contract decision,"The 18-year-old's previous deal was due to expire in June next year, and there were concerns that he could be sold this summer.The likes ofChelseaand Manchester City tried to persuade Nwaneri, but he was always determined to find a solution atArsenal.Nwaneri has now committed to a new four-year deal and has also received assurances of playing time from the number 10 role.The youngster is aware that he won't be guaranteed a starting spot and he is more than willing to compete withMartin Odegaard.An announcement could be made on his renewal before the Gunners fly out for their pre-season tour of Asia at the weekend.Arsenalare also expected to confirm the signings ofNoni Madueke,Cristhian MosqueraandViktor Gyokeresby then.They are likely to make one more signing before the transfer deadline."
https://www.eyefootball.com/news/59964/23yo-winger-signed-Arsenal-contract-until-June-2030.html,23yo winger has signed Arsenal contract until June 2030,"The England international had a decent 2024/25 campaign with 16 goal contributions. He will now be playing for the Gunners, having put pen-to-paper on a five-year contract today, as per Romano.The 23-year-old has been signed for a package worth £52 million. It remains to be seen where he will play for the Gunners next season.Madueke has largely played on the right wing during his time atChelsea, but the position is well covered at the Gunners withBukayo Saka.The former PSV man played occasionally on the left wing for the Blues last season and this could be a potential future role for him atArsenal.Madueke has nonetheless accepted the challenge offered to him and he will be keen to prove his credentials during the upcoming campaign.Arsenalare expected to follow up the signing of Madueke with the acquisitions ofViktor GyokeresandCristhian Mosquera."
https://www.eyefootball.com/news/59963/Fulham-Arsenal-winger-loan.html,Fulham want to sign Arsenal winger on loan,"The Englishman signed for the Cottagers on a temporary deal last summer, but his campaign was cut short by a hamstring injury.The Cottagers are keen to re-sign the Gunners graduate andBBCSport report that a fresh loan proposal has been made for him.Nelson has failed to live up to his expectations atArsenaland he is expected to leave the north London giants for good soon.He has two years remaining on his contract and the Gunners may wantFulhamto include an obligation to buy based on conditions.Crystal Palacehave also been linked with the versatile winger, but Nelson may prefer to return to familiar surroundings atFulham.ManagerMarco Silvais a big admirer of the 25-year-old and believes he can get the best out of the winger in his second loan stint."
https://www.eyefootball.com/news/59960/Arsenal-English-star-Viktor-Gyokeres.html,Arsenal to target English star after Viktor Gyokeres?,"The Gunners have had a productive summertransfer windowand they have already recruited the likes ofKepa Arrizabalaga,Martin ZubimendiandChristian Norgaard.A deal has been agreed to landChelsea'sNoni Maduekewhile Valencia'sCristhian Mosquerawill undergo his medical soon.It is now reported thatArsenalare in advanced negotiations with Sporting for Gyokeres. A deal could be finalised within days.Once that is concluded, the Gunners could focus on landing a versatile playmaker and Eze has been identified as the top target.The north London giants are expected to make a formal proposal to Palace soon, but they don't plan to trigger his release clause.Eze's £68 million release clause can be paid in three instalments, butArsenalseem keen on signing him for a lesser price.The 27-year-old has already given the green light for a transfer."
